Centers ROI,Top-Level ROI
Bin Width (nm),0.100
Maximum Distance (nm),10.000
Bin Count,100

Center Ion Count,4070457

Center Ion(s),Cr

Neighbor Ion(s),Si,Cr,Fe,V,Mn,H
Bulk Ion Counts,50077,4070457,7427465,3095,7366,2696
Bulk Concentration (ionic %),0.4331487266498264,35.20804493945069,64.2450028353566,0.026770679333450738,0.06371335184820619,0.023319467361222354
Bulk Density (ions/nm^3),0.12323006127420823,10.016627703816718,18.27759184979206,0.007616211826660432,0.018126338066294264,0.006634348007973029

,Total Counts
Distance (nm),Si,Cr,Fe,V,Mn,H
4.100,0.11955447515178862,9.492787363215855,17.457336865197416,0.007249129656626323,0.017347229471160536,0.006256608209214
4.200,0.11918874840212862,9.468724817854943,17.404188855195375,0.007244290228871661,0.017323403893063503,0.0062343820124999465
4.300,0.11892833770170112,9.442292513554687,17.3515445776059,0.007228602854576242,0.017264482978155065,0.006209980930188902
4.400,0.11850203799692881,9.416356964126225,17.29946602993334,0.0072012084068466325,0.017223669671615427,0.00618383134354982
4.500,0.11811196544315979,9.391131293268888,17.247642168339166,0.007178353423024669,0.017203891316556155,0.006164400130851442
4.600,0.11772737458541706,9.364804428896187,17.195578690835774,0.007163847134896157,0.017120672363330536,0.006142656777950144
4.700,0.11748564671496409,9.339683209436771,17.144811366562603,0.0071428263500642845,0.017091175722357528,0.006130500378924698
4.800,0.11712416114015455,9.314166880221824,17.093084877486444,0.007130121206406286,0.017026201598970416,0.006107273719640511
4.900,0.11679600270060786,9.28928816070792,17.042344161086845,0.007100977561556591,0.016973633624485444,0.006080964959092131
5.000,0.11643250639065954,9.26322998712037,16.991015978431815,0.007085706635190552,0.016944920974741564,0.006043336754587166
5.100,0.11602587255862251,9.237719416781397,16.93981012760033,0.0070548382538155935,0.016907961630057127,0.006024781039226922
5.200,0.11573082970390787,9.212942635686856,16.889919345331407,0.007041485727585348,0.016852140720525273,0.006013525031730341
5.300,0.11542366200388024,9.187684949184225,16.839224181185568,0.007034041727664315,0.016798591549359594,0.005987165733096102
5.400,0.11502916956629926,9.162187223952186,16.789711730894254,0.006989837893424045,0.016726097711187403,0.005962182277742013
5.500,0.114738593584369,9.136883699423777,16.739607532239056,0.006971648239992201,0.01669714402449502,0.005935635283636408
5.600,0.11437907718454655,9.11160003441394,16.690132291043298,0.006940998231462315,0.016634652813791378,0.00591612622155259
5.700,0.11403119065753621,9.086291742470303,16.640161259042102,0.006911041456015286,0.016611740469658826,0.005900994457228499
5.800,0.11365838738707694,9.06080714618635,16.590217296830886,0.006901394949394873,0.016551812097544052,0.0058850591678442825
5.900,0.1133476232899294,9.035417764437682,16.540387107755045,0.00688777495859586,0.016510912937551823,0.005857785292130519
6.000,0.11292484439237128,9.009026600022391,16.491160059865095,0.006858677562379726,0.016450469861446812,0.005842046836678154
